sweep,colormap,param,nMAE,SSIM
resolution,viridis,64,1.4662839319059187,0.9307393119185747
quality,copper,50,2.0328939086615603,0.7128098212834703
quality,copper,65,1.8649191203384965,0.7588617016911355
quality,copper,75,1.7104984574267468,0.7877458796724983
quality,copper,85,1.4720472041728854,0.8489234896184722
quality,copper,95,1.083372593077913,0.9199945073322586
resolution,copper,256,1.4720472041728854,0.8489234896184722
resolution,copper,192,0.9099546644389762,0.9409877934116737
resolution,copper,128,0.6792766600472544,0.966003879570091
resolution,copper,96,0.6118683243333698,0.9731319474734155
resolution,copper,64,0.5196753733239732,0.9819943844341071
quality,hot,50,1.7114612100507385,0.7704896464913148
quality,hot,65,1.606906762373713,0.7987874753801375
quality,hot,75,1.4883059667289127,0.8283691952644932
quality,hot,85,1.320316393808506,0.871361590796339
quality,hot,95,1.056392720153014,0.9183609692737053
resolution,hot,256,1.320316393808506,0.871361590796339
resolution,hot,192,0.9326848196755798,0.9382480950964326
resolution,hot,128,0.7837199823889283,0.9593736208043777
resolution,hot,96,0.7189884940094444,0.9600380491620744
resolution,hot,64,0.7582494688554593,0.9616983777355788
quality,jet,50,2.0328997560582684,0.6365824531377928
quality,jet,65,1.9767679143949815,0.6541406514187653
quality,jet,75,1.9251336042650267,0.6691666030442768
quality,jet,85,1.8191842471275341,0.7020726406632273
quality,jet,95,1.6946394676414827,0.7395780802106597
resolution,jet,256,1.8191842471275341,0.7020726406632273
resolution,jet,192,1.209996686837702,0.8669703107176572
resolution,jet,128,0.8132001323647784,0.9470052515695677
resolution,jet,96,0.6959522224850568,0.9610094294096443
resolution,jet,64,0.5955900316783077,0.9773124448019714
quality,viridis,50,2.340910437520318,0.6259070460874513
quality,viridis,65,2.292605939192339,0.6407514787939794
quality,viridis,75,2.17205951747013,0.6602158409395097
quality,viridis,85,2.1035027360494816,0.6732482811517012
quality,viridis,95,1.858218567351072,0.7429912608189035
resolution,viridis,256,2.1035027360494816,0.6732482811517012
resolution,viridis,192,1.5756364130304155,0.8195129269973961
resolution,viridis,128,1.1687194071524045,0.8995356199732428
resolution,viridis,96,1.036288838094478,0.9250957649000421
resolution,viridis,64,0.7860079082068622,0.9624155390756536
quality,copper,50,2.0791128336657088,0.7868519553116666
quality,copper,65,1.755635225086571,0.8228224630329756
quality,copper,75,1.701938188570211,0.8379324701585584
quality,copper,85,1.455311410981697,0.8762380745824042
quality,copper,95,1.08141955391132,0.935483541478479
resolution,copper,256,1.455311410981697,0.8762380745824042
resolution,copper,192,1.0377368249115033,0.9381309111723314
resolution,copper,128,0.8613931567307654,0.9570264696911749
resolution,copper,96,0.7659563220790503,0.9665561329712051
resolution,copper,64,0.7399962928401815,0.9759001106667059
quality,hot,50,1.5456483821017308,0.8384431098458968
quality,hot,65,1.4569339851010439,0.856799224010413
